x1,x2,x3,log10sigmav
-3,-1.0,-5.6,-9.499971057558179
-3,-1.0,-5.3,-8.89997105755886
-3,-1.0,-5.0,-8.299971057561567
-3,-1.0,-4.699999999999999,-7.699971057572345
-3,-1.0,-4.3999999999999995,-7.099971057615253
-3,-1.0,-4.1,-6.499971057786073
-3,-1.0,-3.8,-5.89997105846612
-3,-1.0,-3.4999999999999996,-5.299971061173435
-3,-1.0,-3.1999999999999997,-4.699971071951452
-3,-1.0,-2.9,-4.099971114859499
-3,-1.0,-2.5999999999999996,-3.4999712856794103
-3,-1.0,-2.3,-2.8999719657241534
-3,-1.0,-2.0,-2.299974673006056
-3,-1.0,-1.6999999999999997,-1.6999854504935052
-3,-1.0,-1.3999999999999995,-1.100028350169812
-3,-1.0,-1.0999999999999996,-0.5001990374850913
-3,-1.0,-0.7999999999999998,0.09912301495700152
-3,-1.0,-0.5,0.6964487005097018
-3,-0.8,-5.6,-8.846252317595342
-3,-0.8,-5.3,-8.24625231759622
-3,-0.8,-5.0,-7.646252317599719
-3,-0.8,-4.699999999999999,-7.04625231761364
-3,-0.8,-4.3999999999999995,-6.4462523176690745
-3,-0.8,-4.1,-5.846252317889756
-3,-0.8,-3.8,-5.246252318768308
-3,-0.8,-3.4999999999999996,-4.646252322265884
-3,-0.8,-3.1999999999999997,-4.046252336189984
-3,-0.8,-2.9,-3.4462523916228176
-3,-0.8,-2.5999999999999996,-2.8462526123047875
-3,-0.8,-2.3,-2.246253490853752
-3,-0.8,-2.0,-1.6462569883918783
-3,-0.8,-1.6999999999999997,-1.0462709118934836
-3,-0.8,-1.3999999999999995,-0.446326335245153
-3,-0.8,-1.0999999999999996,0.15345313298164398
-3,-0.8,-0.7999999999999998,0.7525769598981661
-3,-0.8,-0.5,1.3491167902313175
-3,-0.6,-5.6,-8.16937783133233
-3,-0.6,-5.3,-7.569377831333336
-3,-0.6,-5.0,-6.969377831337338
-3,-0.6,-4.699999999999999,-6.369377831353271
-3,-0.6,-4.3999999999999995,-5.7693778314167075
-3,-0.6,-4.1,-5.16937783166925
-3,-0.6,-3.8,-4.569377832674639
-3,-0.6,-3.4999999999999996,-3.969377836677163
-3,-0.6,-3.1999999999999997,-3.3693778526114997
-3,-0.6,-2.9,-2.769377916047228
-3,-0.6,-2.5999999999999996,-2.169378168589292
-3,-0.6,-2.3,-1.5693791739754988
-3,-0.6,-2.0,-0.9693831764606016
-3,-0.6,-1.6999999999999997,-0.3693991101736122
-3,-0.6,-1.3999999999999995,0.23053746397559513
-3,-0.6,-1.0999999999999996,0.8302850783799607
-3,-0.6,-0.7999999999999998,1.4292821673930751
-3,-0.6,-0.5,2.0253186219074935
-3,-0.3999999999999999,-5.6,-7.513250556849116
-3,-0.3999999999999999,-5.3,-6.913250556850195
-3,-0.3999999999999999,-5.0,-6.313250556854489
-3,-0.3999999999999999,-4.699999999999999,-5.71325055687158
-3,-0.3999999999999999,-4.3999999999999995,-5.113250556939629
-3,-0.3999999999999999,-4.1,-4.513250557210535
-3,-0.3999999999999999,-3.8,-3.913250558289028
-3,-0.3999999999999999,-3.4999999999999996,-3.3132505625825854
-3,-0.3999999999999999,-3.1999999999999997,-2.713250579675547
-3,-0.3999999999999999,-2.9,-2.1132506477238437
-3,-0.3999999999999999,-2.5999999999999996,-1.5132509186288714
-3,-0.3999999999999999,-2.3,-0.9132519971193327
-3,-0.3999999999999999,-2.0,-0.3132562906373582
-3,-0.3999999999999999,-1.6999999999999997,0.2867266170323176
-3,-0.3999999999999999,-1.3999999999999995,0.8866585787320052
-3,-0.3999999999999999,-1.0999999999999996,1.4863878320558641
-3,-0.3999999999999999,-0.7999999999999998,2.0853118466580165
-3,-0.3999999999999999,-0.5,2.681057740699023
-3,-0.19999999999999996,-5.6,-6.919865994831015
-3,-0.19999999999999996,-5.3,-6.319865994832138
-3,-0.19999999999999996,-5.0,-5.719865994836605
-3,-0.19999999999999996,-4.699999999999999,-5.119865994854385
-3,-0.19999999999999996,-4.3999999999999995,-4.51986599492518
-3,-0.19999999999999996,-4.1,-3.9198659952070143
-3,-0.19999999999999996,-3.8,-3.3198659963290176
-3,-0.19999999999999996,-3.4999999999999996,-2.7198660007957915
-3,-0.19999999999999996,-3.1999999999999997,-2.1198660185783402
-3,-0.19999999999999996,-2.9,-1.5198660893719338
-3,-0.19999999999999996,-2.5999999999999996,-0.9198663712061844
